id,area_id,waste_type,rule_type,weekdays,nth_weeks,note,created_at,updated_at
171,35,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
172,35,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
173,35,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
174,35,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
175,35,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
176,36,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
177,36,NON_BURNABLE,NTH_WEEKDAY,THU,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
178,36,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
179,36,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
180,36,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
181,37,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
182,37,NON_BURNABLE,NTH_WEEKDAY,THU,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
183,37,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
184,37,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
185,37,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
186,38,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
187,38,NON_BURNABLE,NTH_WEEKDAY,THU,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
188,38,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
189,38,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
190,38,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
191,39,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
192,39,NON_BURNABLE,NTH_WEEKDAY,THU,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
193,39,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
194,39,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
195,39,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
196,40,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
197,40,NON_BURNABLE,NTH_WEEKDAY,THU,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
198,40,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
199,40,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
200,40,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
201,41,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
202,41,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
203,41,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
204,41,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
